estado,indice_previsto_rf,classificacao
São Paulo,1.0,alto
São Paulo,0.934178448569268,alto
São Paulo,0.9278720785142602,alto
São Paulo,0.9142435828132903,alto
São Paulo,0.9110040071102619,alto
Rio de Janeiro,0.5023605689542837,médio
Rio de Janeiro,0.49246752915330594,médio
Rio de Janeiro,0.389027449211341,médio
Rio de Janeiro,0.37189805292764627,médio
Rio de Janeiro,0.36176609768170204,médio
Minas Gerais,0.17905929153146624,baixo
Minas Gerais,0.17458131088535825,baixo
Minas Gerais,0.17052709642118333,baixo
Minas Gerais,0.16775846764715216,baixo
Minas Gerais,0.15959427437373624,baixo
Espírito Santo,0.021088453007519575,baixo
Espírito Santo,0.005253734175162026,baixo
Espírito Santo,0.0018292061498739155,baixo
